100043468	Zfp955b
ACAD-9	Acad9
ACADM	Acadm
ACADVL	Acadvl
ACAT1	Acat1
ACAT2	Acat2
ACBD7	Acbd7
ACCN5	Asic5
ACDSB	Acadsb
ACK1	Tnk2
ACLY	Acly
ACM1	Chrm1
ACOT6	Acot6
ACOX1	Acox1
ACP33	Spg21
ACSA	Acss2
ACSL3	Acsl3
ACSL4	Acsl4
ACTB	Actb
ACY2	Aspa
ACYP1	Acyp1
ADA	Ada
ADA2B	Tada2b
ADAL	Adal
ADAM-TS2	Adamts2
ADAM-TS7	Adamts7
ADAM-TS8	Adamts8
ADAM12	Adam12
ADAM15	Adam15
ADAM17	Adam17
ADAM22	Adam22
ADAM9	Adam9
ADCK2	Adck2
ADHFE1	Adhfe1
ADO	Ado
ADPGK	Adpgk
AF-10	Mllt10
AF-17	Mllt6
AF-4	Aff1
AFAP	Afap1
AFG3L1	Afg3l1
AFG3L2	Afg3l2
AGAL	Gla
AGBL5	Agbl5
AGP2 (ORM2)	Orm2
AGTPBP1	Agtpbp1
AHDC1	Ahdc1
AHNAK	Ahnak
AHSA2	Ahsa2
AI593442	AI593442
AI854703	AI854703
AI987944	AI987944
AIDA	Aida
AIFM3	Aifm3
AIM2	Aim2
AIP	Aip
AIP1 (DAB2ip)	Dab2ip
AK2	Ak2
AKAP1	Akap1
AKAP10	Akap10
AKAP11	Akap11
AKAP12	Akap12
AKAP3	Akap3
AKAP350	Akap9
AKAP5	Akap5
AKAP6	Akap6
AKAP7 alpha/beta	Akap7
AKAP7 gamma	Akap7
AKIRIN2	Akirin2
AKR1C3	Akr1c18
AKR1CL2	Akr1e1
AKT3	Akt3
AL1B1	Aldh1b1
AL3A2	Aldh3a2
AL3B2	Aldh3b2
ALD2	Akr1b8
ALD9A1	Aldh9a1
ALDH2	Aldh2
ALDOA	Aldoa
ALG11	Alg11
ALG2	Alg2
ALG3	Alg3
ALG9	Alg9
ALK-4	Acvr1b
ALKBH1	Alkbh1
ALKBH5	Alkbh5
ALPL	Alpl
ALS2	Als2
ALS2CR13	Fam117b
ALS2CR8	Carf
ALY	Alyref
AMBRA1	Ambra1
AMD1	Amd1
AMD3	Ampd3
AMDHD2	Amdhd2
AMH type II receptor	Amhr2
AMIGO	Amigo1
AMIGO2	Amigo2
AML1 (RUNX1)	Runx1
AMMECR1	Ammecr1
AMMECR1L	Ammecr1l
AMOTL1 (Jeap)	Amotl1
AMPK alpha 1 subunit	Prkaa1
AMPK beta1	Prkab1
AMPL	Lap3
AMSH	Stambp
AMWAP	Wfdc17
AMYP	Amy1
ANAPC1	Anapc1
ANAPC4	Anapc4
ANAPC7	Anapc7
ANCO-1	Ankrd11
ANCO-2	Ankrd12
ANGPTL6	Angptl6
ANKDD1B	Ankdd1b
ANKFY1	Ankfy1
ANKMY2	Ankmy2
ANKRD13A	Ankrd13a
ANKRD13C	Ankrd13c
ANKRD2	Ankrd2
ANKRD25	Kank2
ANKRD27(Varp)	Ankrd27
ANKRD28	Ankrd28
ANKRD29	Ankrd29
ANKRD32	Slf1
ANKRD33B	Ankrd33b
ANKRD34	Ankrd34a
ANKRD37	Ankrd37
ANKRD43	Sowaha
ANKRD44	Ankrd44
ANKRD46	Ankrd46
ANKRD55	Ankrd55
ANKRD6	Ankrd6
ANKS1	Anks1
ANKS1B	Anks1b
ANO3	Ano3
ANO6	Ano6
ANP32E	Anp32e
AOF1	Kdm1b
AP complex 2 small (sigma) chain	Ap2s1
AP-1 beta subunit	Ap1b1
AP-4	Tfap4
AP180	Snap91
AP1GBP1	Synrg
AP1M2	Ap1m2
AP1S2	Ap1s2
AP1S3	Ap1s3
AP2A2	Ap2a2
AP3M2	Ap3m2
AP3S1	Ap3s1
AP3S2	Ap3s2
AP4A	Nudt2
AP4B1	Ap4b1
AP4S1	Ap4s1
APBA2BP	Necab3
APCL	Apc2
APEG1	Speg
APEX2	Apex2
APG10	Atg10
APG12	Atg12
APG16L1	Atg16l1
APG3	Atg3
APH-1B	Aph1b
API5	Api5
APIP	Apip
APLP2 active fragment	Aplp2
APLP2 precursor	Aplp2
APOA2	Apoa2
APOBEC-2	Apobec2
APOD	Apod
APOE	Apoe
APOL2	Apol8
APOLD1	Apold1
APOO	Apoo
APP	App
APP-C31	App
APP-C59 (AICD)	App
APP-C83 (CTF)	App
APP-C99	App
APP-CTF delta-long	App
APP-CTF delta-short	App
APP-CTF eta	App
APP-CTF theta	App
APP-Jcasp	App
APP-NCas	App
APP-P3	App
APPL1	Appl1
APPL2	Appl2
ARAP2	Arap2
ARC	Arc
ARF1	Arf1
ARF3	Arf3
ARF4	Arf4
ARF5	Arf5
ARF6	Arf6
ARFGAP1	Arfgap1
ARG2	Arg2
ARHGAP11A	Arhgap11a
ARHGAP18	Arhgap18
ARHGAP20	Arhgap20
ARHGAP21	Arhgap21
ARHGAP23	Arhgap23
ARHGEF10	Arhgef10
ARHGEF2	Arhgef2
ARHGEF3	Arhgef3
ARHGEF4	Arhgef4
ARID4A	Arid4a
ARIH2 (TRIAD1)	Arih2
ARL1	Arl1
ARL14EP	Arl14ep
ARL15	Arl15
ARL4	Arl4a
ARL4C	Arl4c
ARL5B	Arl5b
ARL6IP2	Atl2
ARL6IP4	Arl6ip4
ARL8A	Arl8a
ARMC1	Armc1
ARMCX3	Armcx3
ARMET	Manf
ARP2	Actr2
ARPC2	Arpc2
ARPC3	Arpc3
ARPC4	Arpc4
ARPC5	Arpc5
ARPC5L	Arpc5l
ARPP- 21	Arpp21
ARPP-19	Arpp19
ARRDC3	Arrdc3
ARRDC4	Arrdc4
ARVCF	Arvcf
ARX	Arx
AS250	Ralgapa2
ASAHL	Naaa
ASAP	Map9
ASB13	Asb13
ASB3	Asb3
ASB6	Asb6
ASCT1 (SLC1A4)	Slc1a4
ASF1A	Asf1a
ASGR2	Asgr2
ASK1 (MAP3K5)	Map3k5
ASM3A	Smpdl3a
ASPDH	Aspdh
ASPHD2	Asphd2
ASPP2	Trp53bp2
ASXL1	Asxl1
ASXL3	Asxl3
ATAD2	Atad2
ATAD5	Atad5
ATE1	Ate1
ATF-3	Atf3
ATF-4	Atf4
ATF-7	Atf7
ATF7IP	Atf7ip
ATG13	Atg13
ATG4C	Atg4c
ATG9A	Atg9a
ATG9B	Atg9b
ATIC	Atic
ATIP1	Mtus1
ATL3	Atl3
ATM	Atm
ATOH8	Atoh8
ATOX1	Atox1
ATP-dependent RNA helicase DDX3Y	Ddx3y
ATP1A1	Atp1a1
ATP1A2	Atp1a2
ATP1B2	Atp1b2
ATP1B3	Atp1b3
ATP6AP2	Atp6ap2
ATP7A	Atp7a
ATP8A1	Atp8a1
ATPAF1	Atpaf1
ATPAF1-AS1	Tex38
ATPBD1C	Gpn3
ATPBD4	Dph6
ATR	Atr
ATXN7L1	Atxn7l1
ATXN7L3B	Atxn7l3b
AU041133	AU041133
AUMH	Auh
AUTS2	Auts2
AXUD1	Csrnp1
AY702103	AY702103
Ac-SDKP	Tmsb4x
Acot12	Acot12
ActRIIA	Acvr2a
ActRIIB	Acvr2b
Actin cytoplasmic 2	Actg1
Activin beta A	Inhba
Adenylate cyclase type II	Adcy2
Adenylate cyclase type IX	Adcy9
Adenylate cyclase type V	Adcy5
AdipoR1	Adipor1
AdipoR2	Adipor2
Ag2	Gm13889
Aggrecanase-1	Adamts4
Akirin 1	Akirin1
Aldoal1	Aldoart1
Aldoart2	Aldoart2
Alg13	Alg13
AlkB	Alkbh6
Alpha adducin	Add1
Alpha crystallin A	Cryaa
Alpha dystroglycan	Dag1
Alpha-1 catenin	Ctnna1
Alpha-2B adrenergic receptor	Adra2b
Alpha-2C-1 adrenergic receptor	Adra2c
Alpha-N-catenin	Ctnna2
Alpha-centractin	Actr1a
Alpha-fodrin	Sptan1
Alpha-internexin	Ina
Aminoacylase-1	Acy1
Amphiregulin	Areg
Amyloid beta 38	App
Amyloid beta 40	App
Amyloid beta 42	App
Androgen receptor	Ar
Ankrd34b	Ankrd34b
Ankrd56	Sowahb
Ankyrin-B	Ank2
Ankyrin-G	Ank3
Annexin III	Anxa3
Annexin V	Anxa5
Annexin VII	Anxa7
Anoctamin-3	Ano3
Aquaporin 1	Aqp1
Aralar1 (SLC25A12)	Slc25a12
Arl16	Arl16
Ash1	Ash1l
Ashwin	AI597479
Asprosin	Fbn1
Asrgl1	Asrgl1
Astrotactin-1	Astn1
Atad2b	Atad2b
Ataxin-1	Atxn1
Ataxin-7	Atxn7
Atg101	Atg101
Atrophin-1	Atn1
Attractin	Atrn
Aurora-C	Aurkc
Azi1	Cep131
B-FABP	Fabp7
B-Myc	Bmyc
B-TAF	Btaf1
B-ind1	Hacd3
B230217C12Rik	B230217C12Rik
B3GA1	B3gat1
B3GALTL	B3glct
B3GN1	B3gnt2
B3GN6	B4gat1
B3GT2	B3galt2
B3GT3	B3galnt1
B3GT5	B3galt5
B4GALNT4	B4galnt4
B4GT5	B4galt5
B4GT7	B4galt7
B56G	Ppp2r5c
B930041F14Rik	Fndc10
B930041F14Rik	Fndc10l
B9D1	B9d1
BAALC	Baalc
BACE1	Bace1
BACH1	Bach1
BACH2	Bach2
BAD	Bad
BAF155	Smarcc1
BAF170	Smarcc2
BAF180	Pbrm1
BAF200	Arid2
BAF250A	Arid1a
BAF250B	Arid1b
BAF47	Smarcb1
BAF57	Smarce1
BAFF-R	Tnfrsf13c
BAHD1	Bahd1
BAI3	Adgrb3
BAIAP2	Baiap2
BAIAP3	Baiap3
BAIP3	Lrif1
BAMBI	Bambi
BARHL2	Barhl2
BASP1	Basp1
BAT2	Prrc2a
BAT4	Gpank1
BAZ1A	Baz1a
BAZ1B	Baz1b
BAZ2B	Baz2b
BAZF	Bcl6b
BBIP1	Bbip1
BBS10	Bbs10
BBS12	Bbs12
BBS4	Bbs4
BBS7	Bbs7
BBS9	Bbs9
BBX	Bbx
BC002059	BC002059
BC011426	Zfp959
BC023055	Morn4
BC029684	Lactbl1
BC030500	BC030500
BC031441	Zfp119b
BC049807	Zfp948
BC050254	5031425E22Rik
BC066028	Zfp941
BCAM	Bcam
BCAP29	Bcap29
BCAR3	Bcar3
BCAS1	Bcas1
BCAT1	Bcat1
BCCIP	Bccip
BCDIN3	Mepce
BCL7A	Bcl7a
BCR	Bcr
BChE	Bche
BDH	Bdh1
BDH2	Bdh2
BET1	Bet1
BETA-IG-H3	Tgfbi
BETA-PIX	Arhgef7
BHC80	Phf21a
BHLHB9	Bhlhb9
BI-1	Tmbim6
BICC1	Bicc1
BICD1	Bicd1
BIG1	Arfgef1
BIG2	Arfgef2
BIKe	Bmp2k
BIVM	Bivm
BLOS3	Bloc1s3
BMI-1	Bmi1
BMP15	Bmp15
BMPER	Bmper
BMPR1A	Bmpr1a
BMPR1B	Bmpr1b
BNaC2 (ASIC1a)	Asic1
BOAT	Atxn1l
BOK	Bok
BOLA2	Bola2
BPAG1	Dst
BPHL	Bphl
BRD1	Brd1
BRD2	Brd2
BRD3	Brd3
BRD8	Brd8
BRF2	Brf2
BRG1	Smarca4
BRI3BP	Bri3bp
BRK	Ptk6
BRM	Smarca2
BRSK2	Brsk2
BRUNOL4	Celf4
BRUNOL5	Celf5
BST2	Bst2
BTBD14A	Nacc2
BTBD3	Btbd3
BTBD5	Klhl28
BTF	Bclaf1
BTF3	Btf3
BTF3L4	Btf3l4
BTG1	Btg1
BTG2	Btg2
BUB3	Bub3
BXDC1	Rpf2
BXDC2	Brix1
BZW1	Bzw1
Bassoon	Bsn
Bat2l	Prrc2b
Bcl-10	Bcl10
Bcl-6	Bcl6
Bcl-9	Bcl9
Bcl-G	Bcl2l14
Bcl-W	Bcl2l2
Bcl-XL	Bcl2l1
Bestrophin-1	Best1
Beta adducin	Add2
Beta dystroglycan	Dag1
Beta-arrestin1	Arrb1
Beta-arrestin2	Arrb2
Beta-fodrin	Sptbn1
Beta-parvin	Parvb
Beta-sarcoglycan	Sgcb
Beta-synuclein	Sncb
Beta-tryptase 1	Tpsab1
Bim	Bcl2l11
BinCARD	Card19
Birc6	Birc6
Bles03	AI837181
Bombesin receptor	Brs3
Brca2	Brca2
Bystin	Bysl
C/EBP zeta	Ddit3
C/EBPalpha	Cebpa
C/EBPbeta	Cebpb
C/EBPdelta	Cebpd
C030046I01Rik	R3hdm4
C10orf118	Ccdc186
C10orf4	Fra10ac1
C10orf46	Cacul1
C10orf84	Fam204a
C10orf88	2310057M21Rik
C10orf90	D7Ertd443e
C11orf24	1810055G02Rik
C11orf41	D430041D05Rik
C11orf54	4931406C07Rik
C11orf61	Msantd2
C11orf75	Smco4
C11orf9	Myrf
C12orf23	Tmem263
C12orf26	Mettl25
C12orf4	D6Wsu163e
C12orf43	2210016L21Rik
C12orf48	Parpbp
C12orf53	Pianp
C13orf33	Medag
C13orf37	Mzt1
C14orf102	Nrde2
C14orf119	1700123O20Rik
C14orf135	Pcnx4
C14orf138	Vcpkmt
C14orf147	Sptssa
C14orf179	Ift43
C14orf21	Nop9
C14orf28	Gm527
C14orf61	Cep128
C15orf17	Fam219b
C15orf27	Tmem266
C15orf38	Arpin
C15orf60	Rec114
C16orf46	1700030J22Rik
C16orf54	AI467606
C16orf55	Spata33
C16orf61	Cmc2
C16orf87	4921524J17Rik
C17orf108	Lyrm9
C17orf39	Gid4
C17orf61	Tmem256
C17orf75	5730455P16Rik
C17orf85	Ncbp3
C17orf90	Oxld1
C18orf1	Ldlrad4
C18orf10	Tpgs2
C18orf22	Rbfa
C18orf32	BC031181
C18orf42	Akain1
C18orf55	Timm21
C19orf12	1600014C10Rik
C19orf42	Smim7
C19orf53	D8Ertd738e
C19orf59	Mcemp1
C1orf114	Ccdc181
C1orf125	Axdnd1
C1orf128	Pithd1
C1orf156	Mettl18
C1orf161	Mab21l3
C1orf163	Coa7
C1orf173	Erich3
C1orf174	A430005L14Rik
C1orf21	1700025G04Rik
C1orf26	Swt1
C1orf31	Coa6
C1orf35	2310033P09Rik
C1orf52	2410004B18Rik
C1orf55	Sde2
C1orf77	Chtop
C1orf83	Tceanc2
C1orf86	Faap20
C1orf9	Suco
C1orf96	Ccsap
C1qa	C1qa
C1ql2	C1ql2
C20orf152	Cnbd2
C20orf177	Fam217b
C20orf185	Bpifb3
C20orf3	Apmap
C20orf4	Aar2
C20orf43	Rtf2
C20orf72	Mgme1
C20orf96	6820408C15Rik
C22orf25	Tango2
C22orf32	Smdt1
C22orf39	2510002D24Rik
C22orf9	5031439G07Rik
C2CD3	C2cd3
C2orf34	Camkmt
C2orf56	Ndufaf7
C2orf72	2810459M11Rik
C2orf79	Ptrhd1
C3G	Rapgef1
C3orf1	Timmdc1
C3orf33	E130311K13Rik
C3orf34	Cep19
C3orf37	Hmces
C3orf38	4930453N24Rik
C3orf39	Pomgnt2
C3orf57	Sptssb
C3orf59	Mb21d2
C3orf62	1700102P08Rik
C4orf31	Ndnf
C4orf34	Smim14
C4orf41	Trappc11
C4orf46	4930579G24Rik
C530005A16Rik	C530005A16Rik
C5orf24	B230219D22Rik
C5orf32	Cystm1
C5orf34	4833420G17Rik
C5orf40	Fndc9
C5orf41	Crebrf
C630035N08Rik	Fam163b
C6Ma1	Col6a1
C6orf130	Oard1
C6orf145	Pxdc1
C6orf165	Cfap206
C6orf186	Mettl24
C6orf225	Fam229b
C6orf57	Sdhaf4
C7orf10	Sugct
C7orf20	Get4
C7orf25	AW209491
C7orf36	Yae1d1
C7orf50	3110082I17Rik
C7orf51	Nyap1
C8FW (GIG2)	Trib1
C8orf40	Smim19
C8orf82	C030006K11Rik
C9orf100	Arhgef39
C9orf103	Idnk
C9orf117	Cfap157
C9orf150	Lurap1l
C9orf41	Carnmt1
C9orf5	Tmem245
C9orf50	1700001O22Rik
C9orf75	Tprn
C9orf82	Caap1
CABC1	Coq8a
CABIN1	Cabin1
CAC	Slc25a20
CACL	Slc25a29
CACNA1C	Cacna1c
CACNA1E	Cacna1e
CACNA1H	Cacna1h
CACNB3	Cacnb3
CADM2	Cadm2
CALB1	Calb1
CALCOCO1	Calcoco1
CALDAG-GEFI	Rasgrp2
CALHM2	Calhm2
CALP	Kcnip4
CAMGAP1	Arhgap27
CAMK1D	Camk1d
CAMK2N2	Camk2n2
CAMKV	Camkv
CAMSAP1L1	Camsap2
CAMTA1	Camta1
CAP-1A	Sclt1
CAP-C	Smc4
CAP-G	Ncapg
CAP1	Cap1
CAP2	Cap2
CAP350	Cep350
CAPZA1	Capza1
CARS2	Cars2
CART	Cartpt
CAS-L	Nedd9
CAT-1 (SLC7A1)	Slc7a1
CBLN4	Cbln4
CBP	Crebbp
CBR1	Cbr1
CBR4	Cbr4
CBX4	Cbx4
CC175	Ccdc175
CC2D1B	Cc2d1b
CCBL2	Kyat3
CCBP2 (CCR9)	Ackr2
CCDC100	Cep120
CCDC102A	Ccdc102a
CCDC103	Ccdc103
CCDC107	Ccdc107
CCDC112	Ccdc112
CCDC113	Ccdc113
CCDC115	Ccdc115
CCDC124	Ccdc124
CCDC126	Ccdc126
CCDC128	Ppp1r21
CCDC14	Ccdc14
CCDC141	Ccdc141
CCDC146	Ccdc146
CCDC19	Cfap45
CCDC21	Cep85
CCDC28B	Ccdc28b
CCDC33	Ccdc33
CCDC34	Ccdc34
CCDC4	Bend4
CCDC46	Cep112
CCDC47	Ccdc47
CCDC5	Haus1
CCDC52	Spice1
CCDC55	Nsrp1
CCDC6	Ccdc6
CCDC73	Ccdc73
CCDC80	Ccdc80
CCDC82	Ccdc82
CCDC92	Ccdc92
CCDC95	Ino80e
CCG5	Cacng5
CCG8	Cacng8
CCK8	Cck
CCK8-Gly	Cck
CCK8-GlyArgArg	Cck
CCKBR	Cckbr
CCL25	Ccl25
CCL27	Ccl27a
CCL27	Ccl27al
CCL27	Ccl27b
CCNL2	Ccnl2
CCNYL1	Ccnyl1
CCX CKR	Ackr4
CD151	Cd151
CD163	Cd163
CD164	Cd164
CD164L2	Cd164l2
CD166	Alcam
CD200 (OX-2)	Cd200
CD27(TNFRSF7)	Cd27
CD276	Cd276
CD2AP	Cd2ap
CD3 zeta	Cd247
CD300LF	Cd300lf
CD30L (TNFSF8)	Tnfsf8
CD36L2	Scarb2
CD4	Cd4
CD47	Cd47
CD53	Cd53
CD68	Cd68
CD81	Cd81
CD83	Cd83
CDC14a	Cdc14a
CDC14b	Cdc14b
CDC18L (CDC6)	Cdc6
CDC25B	Cdc25b
CDC25C	Cdc25c
CDC26	Cdc26
CDC2L2	Cdk11b
CDC2L5	Cdk13
CDC40	Cdc40
CDCA1	Nuf2
CDD	Cda
CDH20	Cdh20
CDIP	Cdip1
CDK10	Cdk10
CDK11	Cdk19
CDK14	Cdk14
CDK5	Cdk5
CDK5R1 (p25)	Cdk5r1
CDK5R1 (p35)	Cdk5r1
CDK5RAP1	Cdk5rap1
CDK7	Cdk7
CDKAL1	Cdkal1
CDKL4	Cdkl4
CDO1	Cdo1
CDR2	Cdr2
CDS1	Cds1
CDS2	Cds2
CDYL	Cdyl
CDYL2	Cdyl2
CEBPG	Cebpg
CECR2	Cecr2
CELSR1	Celsr1
CELSR2	Celsr2
CENP-A	Cenpa
CENP-B	Cenpb
CENPP	Cenpp
CENTB2	Acap2
CENTG2	Agap1
CENTG3	Agap3
CEP4	Cdc42ep4
CEP68	Cep68
CEP76	Cep76
CEPT1	Cept1
CFTR	Cftr
CG4853	Rasgef1a
CGGBP1	Cggbp1
CGI-121	Tprkb
CGI-15	Slc35c2
CGI-30	Dph5
CGI-55	Serbp1
CHAC1	Chac1
CHCHD4	Chchd4
CHCHD7	Chchd7
CHD1	Chd1
CHD5	Chd5
CHD6	Chd6
CHD7	Chd7
CHD8	Chd8
CHFR	Chfr
CHIC1	Chic1
CHIC2	Chic2
CHIP	Stub1
CHL1	Chl1
CHMP1B	Chmp1b
CHMP4B	Chmp4b
CHMP5	Chmp5
CHMP6	Chmp6
CHP1	Chordc1
CHSS2	Chpf
CHSS3	Chsy3
CHST1	Chst1
CHSTC	Chst12
CIAPIN1	Ciapin1
CIDE-B	Cideb
CIITA	Ciita
CINAP	Tspyl2
CINP	Cinp
CIP150	Ric1
CIR	Cir1
CIRBP	Cirbp
CISH	Cish
CITED4	Cited4
CIZ1	Ciz1
CLCN3	Clcn3
CLCN5	Clcn5
CLDND1	Cldnd1
CLF-1	Crlf1
CLIC6	Clic6
CLIM1	Pdlim1
CLIP3	Clip3
CLIP4	Clip4
CLN6	Cln6
CLUAP1	Cluap1
CLVS1	Clvs1
CLYBL	Clybl
CMAS	Cmas
CMC1	Cmc1
CMIP	Cmip
CMKLR1	Cmklr1
CMPK2	Cmpk2
CMTM4	Cmtm4
CMTM5	Cmtm5
CMTM6	Cmtm6
CNIH2	Cnih2
CNIH3	Cnih3
CNNM3	Cnnm3
CNOT3	Cnot3
CNOT6	Cnot6
CNP	Nppc
CNP1	Cnp
CNRIP1	Cnrip1
CNTFR alpha	Cntfr
CNTLN	Cntln
CNTN1 (F3)	Cntn1
CNTN5	Cntn5
CNTN6	Cntn6
CNTNAP5	Cntnap5a
COBL	Cobl
COBRA1	Nelfb
COG5	Cog5
COG7	Cog7
COL6A1	Col6a1
COMMD10	Commd10
COMMD5	Commd5
COMMD8	Commd8
COMP	Comp
COMT	Comt
COMTD1	Comtd1
COPB	Copb1
COPB2	Copb2
COPE	Cope
COPG1	Copg1
COPS3	Cops3
COPS6	Cops6
COPS7B	Cops7b
COPZ1	Copz1
COQ10A	Coq10a
COQ10B	Coq10b
COQ6	Coq6
COQ7	Coq7
CORO1A(CLABP, TACO)	Coro1a
CORO1C	Coro1c
CORO6	Coro6
CORTBP2	Cttnbp2
COX IV-1	Cox4i1
COX IV-2	Cox4i2
COX VIII-2	Cox8a
COX VIIa-1	Cox7a1
COX VIIa-2	Cox7a2
COX VIIa-2L	Cox7a2l
COX VIb-1	Cox6b1
COX Va	Cox5a
COX-2 (PTGS2)	Ptgs2
COX11	Cox11
COX16	Cox16
COX19	Cox19
CPA2	Cpa2
CPB1	Cpb1
CPEB1	Cpeb1
CPEB4	Cpeb4
CPNE2	Cpne2
CPSF1	Cpsf1
CPSF2	Cpsf2
CPSF3	Cpsf3
CPSF7	Cpsf7
CPXM2	Cpxm2
CR1L	Cr1l
CREAM1	Gtf2ird1
CREB3L2	Creb3l2
CREB5	Creb5
CREBL2	Crebl2
CREG2	Creg2
CRELD1	Creld1
CREM (activators)	Crem
CREM (repressors)	Crem
CRIPT	Cript
CRLF2	Crlf2
CRLS1	Crls1
CRMP1	Crmp1
CRMP2	Dpysl2
CRMP4	Dpysl3
CRMP5	Dpysl5
CRP1	Csrp1
CRP2	Csrp2
CRTL1	Hapln1
CRY2	Cry2
CRYZL1	Cryzl1
CSAD	Csad
CSDC2	Csdc2
CSEN4	Kcnip3
CSL4	Exosc1
CSMD3	Csmd3
CSRNP2	Csrnp2
CST11	Cst11
CST9L	Cst9
CSTF2T	Cstf2t
CTA-221G9.4	2900026A02Rik
CTC1	Ctc1
CTCF	Ctcf
CTDP1	Ctdp1
CTDSP2 (SCP2)	Ctdsp2
CTDSPL	Ctdspl
CTDSPL2	Ctdspl2
CTE2	Acot7
CTIP2	Bcl11b
CTL2	Slc44a2
CTNNAL1	Ctnnal1
CTNNBL1	Ctnnbl1
CTSW	Ctsw
CUGBP1	Celf1
CUTA	Cuta
CUTC	Cutc
CVAK104	Scyl2
CWF19L2	Cwf19l2
CXCL14	Cxcl14
CXXC1	Cxxc1
CXXC4	Cxxc4
CXXC6	Tet1
CXorf38	1810030O07Rik
CYB5-M	Cyb5b
CYB5R4	Cyb5r4
CYBASC3	Cyb561a3
CYC1	Cyc1
CYFIP2	Cyfip2
CYLD	Cyld
CYP2C8	Cyp2c65
CYP2S1	Cyp2s1
CYP46	Cyp46a1
CYP51A1	Cyp51
CaBP1	Cabp1
CaMK I	Camk1
CaMK II alpha	Camk2a
CaMK II gamma	Camk2g
CaMK IV	Camk4
CaMKK1	Camkk1
CaMKK2	Camkk2
Cacng6	Cacng6
CacyBP(SIP)	Cacybp
Cadherin 10	Cdh10
Cadherin 11	Cdh11
Cadherin 7	Cdh7
Cadherin 8	Cdh8
Cadherin 9	Cdh9
CalDAG-GEFIII	Rasgrp3
Calcineurin A (alpha)	Ppp3ca
Calcineurin A (beta)	Ppp3cb
Calcineurin B1	Ppp3r1
Calcipressin 2	Rcan2
Calcipressin-3	Rcan3
Calmyrin	Cib1
Calpain 1(mu)	Capn1
Calpain 7	Capn7
Calponin-2	Cnn2
Calsequestrin 2 (cardiac muscle)	Casq2
Calsyntenin-1	Clstn1
Calsyntenin-3	Clstn3
CapG	Capg
Carbonic anhydrase II	Car2
Carbonic anhydrase XI	Car11
Carboxypeptidase H	Cpe
Carboxypeptidase M	Cpm
Carom	Fchsd2
Casein kinase I alpha	Csnk1a1
Casein kinase I delta	Csnk1d
Casein kinase I epsilon	Csnk1e
Casein kinase I gamma 2	Csnk1g2
Casein kinase I gamma-3	Csnk1g3
Casein kinase II, beta chain (Phosvitin)	Csnk2b
Caspase-7	Casp7
Caspase-9	Casp9
Caspr2	Cntnap2
Cathepsin O	Ctso
Cathepsin S	Ctss
Cathepsin V	Ctsl
Ccdc12	Ccdc12
