Interactions Report,,,,,,,,,
,From,,To,,,,,,
18,RXRA,Transcription factor,NDUFS7,Generic enzyme,Activation,Transcription regulation,x,RXRA binds to gene NDUFS7 promoter.,19300518;36347014
19,Ski,Generic binding protein,Sirtuin1,Generic enzyme,Activation,Binding,x,Ski interacts with SIRT1 and enhances SIRT1-promoted p53 deacetylation.,21149449
20,JNK2(MAPK9),Protein kinase,RACK1,Generic binding protein,Activation,Binding,x,JNK2(MAPK9) binds to and activates RACK1.,23608534
21,SMAD4,Transcription factor,SLIT2,Receptor ligand,Inhibition,Transcription regulation,x,SMAD4 inhibits transcription of SLIT2.,29317497
22,HDAC2,Generic enzyme,Cyclin D2,Generic binding protein,Inhibition,Transcription regulation,x,HDAC2 co-inhibits transcription of Cyclin D2.,23112173
23,GPATCH4,Generic binding protein,DHX15,Generic enzyme,Activation,Binding,x,GPATCH4 binds to and activates DHX15.,38113271
24,RelA (p65 NF-kB subunit),Transcription factor,c-Rel (NF-kB subunit),Transcription factor,Activation,Transcription regulation,x,RelA (p65 NF-kB subunit) activates transcription of c-Rel (NF-kB subunit).,7649478;8139561;11043773;12162804;14743216;15143182;15818410;17072328;17693123;18309928;18832697;19023096;19087197;19094066;19273289;19302050;19519322;19524538;19607980;20026420;20503182;20740013;21368872;21779400;23646894;23982206;24722732;25416956;26186194;26324762;26887983;28514442;29603325;32492432;35271311
25,SOX10,Transcription factor,MEF2C,Transcription factor,Activation,Transcription regulation,x,SOX10 binds and activates the Mef2c-F1 enhancer in a SOX site-dependent manner.,21610032
26,hnRNP A1,Generic binding protein,SFRS10,Transcription factor,Activation,Transcription regulation,x,hnRNP A1 co-activates transcription of SFRS10.,17925491;22365833;31311954
27,FBXO24,Generic enzyme,NDPK A,Generic kinase,Inhibition,Binding,x,FBXO24 binds to and inhibits NDPK A.,25582197
28,AML1 (RUNX1),Transcription factor,ZO-1,Generic binding protein,Activation,Transcription regulation,x,RUNX1a probably regulates transcription of ZO-1.,17652178;25150295;25452107;30185409;30500954
29,SIK,Protein kinase,PARD3,Generic binding protein,Inhibition,Binding,x,SIK binds to and inhibits PARD3.,29464029
30,PR (nuclear),Transcription factor,SYTL2,Generic binding protein,Inhibition,Transcription regulation,x,PR (nuclear) inhibits transcription of SYTL2.,32407979
31,Neuropilin-1,Generic receptor,L1CAM,Generic binding protein,Activation,Binding,x,L1CAM interacts with Nrp1.,10985345;12456642;16377081;22836270
32,CBX4,Generic binding protein,TFII-I,Transcription factor,Activation,Binding,x,CBX4 binds to and activates TFII-I.,21282530;35358396
33,CACNA1C,Voltage-gated ion channel,mGluR5,GPCR,Activation,Binding,x,CACNA1C binds to and activates mGluR5.,22586220
34,Sin3A,Generic binding protein,MCM5,Generic enzyme,Inhibition,Transcription regulation,x,It was  verified Sin3A and Sin3B binding to a select group of Sin3 targets by qChIP and found that many genes  (mcm5) were bound by both Sin3A and Sin3B.,18995834;38789411
35,STAT3,Transcription factor,KLF5,Transcription factor,Activation,Transcription regulation,x,"STAT3 target genes  (Dact1, Klf4, Klf5, Rgs16, Smad7, Ccrn4l, Cnnm1, Ocln, Ier3, Pim1, Cyr61, Sgk, Stat3, 1700051K13Rik, and 5230400M03Rik) are transcriptionally regulated by Nanog.",19544440;21951574;27676194
36,RFX1,Transcription factor,TGF-beta 2,Receptor ligand,Inhibition,Transcription regulation,x,RFX1 blocks TGFbeta2 expression through its direct action on TGFbeta2 transcription.,22582395
37,TAF8,Generic binding protein,TFIID 30 kDa subunit,Transcription factor,Activation,Binding,x,Association of TAF8  with TFIID 30 kDa subunit was shown by using of Western blot.,14580349;15870280;17375202;26186194;28514442;33961781;34634302
38,Androgen receptor,Transcription factor,SLC22A3,Transporter,Inhibition,Transcription regulation,x,Androgen receptor inhibits transcription of SLC22A3.,21909140;36254631
39,MAD3,Transcription factor,PREX1,"Regulators (GDI, GAP, GEF)",Activation,Transcription regulation,x,PREX1 transcription can be possibly activated by MAD3.,22808009
40,ATF-3,Transcription factor,GPT2,Generic enzyme,Inhibition,Transcription regulation,x,ATF-3 inhibits transcription of GPT2.,24418603
41,SPAR (SIPA1L1),"Regulators (GDI, GAP, GEF)",TR-beta,Transcription factor,Activation,Binding,x,SPAR (SIPA1L1) binds to and activates TR-beta.,23558175;24325866
42,p53,Transcription factor,NOTCH2 receptor,Generic receptor,Activation,Transcription regulation,x,P53 upregulates expression of NOTCH2 mRNA.,19907659;25043190;30318121
43,RelA (p65 NF-kB subunit),Transcription factor,Cyclin D1,Generic binding protein,Activation,Transcription regulation,x,RELA (NF-kappaB p65 subunit) interacts with the CCND1 (Cyclin D1) promoter.,15652748;15691880;15755876;15870875;16298738;16331275;16498412;16518410;16682409;17008396;17404108;18174238;19016262;19444329;19800042;19880242;20462455;20509140;21056029;21131967;21901538;23037503;23172667;23552605;23563178;23591394;23981302;24508135;24531845;24760979;25331947;25412312;25661319;26874278;27166260;27443256;27811358;28696292;31757943;32627006;32816854;34764323;34767814;35210557;36069218;36273585;37326109;39317702
44,RelB (NF-kB subunit),Transcription factor,AIM2,Generic binding protein,Activation,Transcription regulation,x,RelB (NF-kB subunit) activates transcription of AIM2.,16595631;29844574
45,NCOA1 (SRC1),Generic enzyme,ELMO1,Generic binding protein,Inhibition,Transcription regulation,x,NCOA1 (SRC1) co-inhibits transcription of ELMO1.,29567811
46,ZBTB4,Transcription factor,p21,Generic binding protein,Inhibition,Transcription regulation,x,Zbtb4 binds to the P21CIP1 promoter in vivo and represses its activity.,18451802;27815388
47,MIF,Receptor ligand,BBS4,Generic binding protein,Inhibition,Transcription regulation,x,MIF inhibits transcription of BBS4.,38052787
48,14-3-3 zeta/delta,Generic binding protein,Raptor,Generic binding protein,Activation,Binding,x,"endogenous 14-3-3 zeta and gamma isoforms coimmunoprecipitated with wild-type, but not AA mutant, raptor.",18439900;26846144;35271311
49,CTCF,Transcription factor,KCNQ5,Voltage-gated ion channel,Activation,Transcription regulation,x,CTCF mediates a series of repressing element interactions that form loops on the kcnq5 gene locus as a mechanism for regulating local gene expression.,22347474;32807777
50,PI3K reg class IA (p85-alpha),Generic binding protein,GluR1,Ligand-gated ion channel,Activation,Binding,x,GluR1-PI3K p85alpha/p110alpha complex is critical for  signal responsible for AMPAR membrane insertion.,12765612
51,PLC-beta1,Generic phospholipase,TRPM7,Generic channel,Inhibition,Binding,x,PLC-beta1 interacts with TRPM7.,11161216;11941371;15843919;15902429
52,NCOA1 (SRC1),Generic enzyme,XBP1,Transcription factor,Activation,Transcription regulation,x,"ERa, steroid receptor coactivator (SRC)-1 and SRC-3, and RNA polymerase II bind to the promoter and/or enhancer region of the XBP1 gene.",21297881;22002538
53,REV-ERBalpha,Transcription factor,SOX2,Transcription factor,Inhibition,Transcription regulation,x,REV-ERBalpha inhibits transcription of SOX2.,39084577
54,ZNF281,Transcription factor,MEIS2,Transcription factor,Activation,Transcription regulation,x,ZNF281 activates transcription of MEIS2.,35715464
55,BMP15,Receptor ligand,BMPR1B,Receptor with enzyme activity,Activation,Binding,x,BMP15 binds to receptor BMPR1B and stimulates its activity.,12419820;18006624;22294741
56,YY1,Transcription factor,EPAS1,Transcription factor,Activation,Transcription regulation,x,YY1 activates transcription of EPAS1.,19483472;32409309;35425987
57,MDM2,Generic enzyme,MMP-2,Metalloprotease,Inhibition,Binding,x,MDM2 binds to and inhibits MMP-2.,25149542
58,c-Jun,Transcription factor,PES1,Generic binding protein,Activation,Transcription regulation,x,c-Jun regulate PES1 promoter activity by directly binding to PES1 promoter.,22860098
59,GCR,Transcription factor,CBR1,Generic enzyme,Activation,Transcription regulation,x,GCR activates transcription of CBR1.,24654784;33524141
60,TCF7L2 (TCF4),Transcription factor,ATP6V1H,Generic channel,Activation,Transcription regulation,x,TCF7L2 (TCF4) activates transcription of ATP6V1H.,21152096;32675279
61,p120GAP,"Regulators (GDI, GAP, GEF)",PLC-gamma 1,Generic phospholipase,Activation,Binding,x,PLC-gamma 1 binds to p120GAP.,2156626;8977179;9020117;9743338;32356317
62,NPTX1,Generic binding protein,GluR4,Ligand-gated ion channel,Activation,Binding,x,NPX1 physically interacts with GluR4 and increases its activity.,17610819;22753414
63,SOX2,Transcription factor,TTLL7,Generic enzyme,Activation,Transcription regulation,x,SOX2 activates transcription of TTLL7.,22215994;38951654
64,FOXO3A,Transcription factor,Cyclin D2,Generic binding protein,Inhibition,Transcription regulation,x,FOXO3A decreases Cyclin D2 mRNA expression.,16801400;20733005
65,C/EBPbeta,Transcription factor,COH1,Protein,Activation,Transcription regulation,x,COH1 is a potential C/EBPbeta target gene.,22722334
66,NUP133,Transporter,NUP107,Protein,Activation,Binding,x,NUP133 binds to and activates NUP107.,17363900;27194810;30179222;33961781
67,C/EBPalpha,Transcription factor,NEUR1,Generic enzyme,Activation,Transcription regulation,x,C/EBPalpha activates transcription of NEUR1.,14597183
68,Kappa-type opioid receptor,GPCR,Beta-arrestin1,Generic binding protein,Activation,Binding,x,,9733719;11259620;15158363
69,STAT3,Transcription factor,PD-L2,Generic binding protein,Activation,Transcription regulation,x,STAT3 activates transcription of PD-L2.,28494868;32012401
70,FOXP1,Transcription factor,Rb protein,Generic binding protein,Inhibition,Transcription regulation,x,FOXP1 inhibits transcription of Rb protein.,33716296
71,HDAC2,Generic enzyme,Ski,Generic binding protein,Activation,Binding,x,HDAC2 binds to and activates Ski.,37598220
72,STAT1,Transcription factor,PKC-epsilon,Protein kinase,Activation,Transcription regulation,x,STAT1 activates transcription of PKC-epsilon.,24825907
73,STK19,Protein kinase,PCNA,Generic binding protein,Activation,Binding,x,STK19 binds to and activates PCNA.,38252411
74,hASH1,Transcription factor,MMR2,Generic receptor,Inhibition,Transcription regulation,x,hASH1 inhibits transcription of MMR2.,34466783
75,PBX1,Transcription factor,VCP,Generic enzyme,Activation,Transcription regulation,x,PBX1 can bind to gene VCP promoter and activates VCP expression.,17200190;17368566
76,p53,Transcription factor,CDS2,Generic enzyme,Activation,Transcription regulation,x,p53 activates transcription of CDS2.,16980608;22127205;30237540;32807901
77,RelA (p65 NF-kB subunit),Transcription factor,RRAD,RAS - superfamily,Activation,Transcription regulation,x,RelA (p65 NF-kB subunit) activates transcription of RRAD.,19690516;22302392;29476964;30419821;32101750
78,TARDBP (TDP43),Transcription factor,Rian,Protein,Activation,Binding,x,"Malat1/Neat2, Xist, Rian and Meg3 are noncoding RNA examples that were both bound by TDP-43 and decreased on reduction of TDP-43 protein, consistent with TDP-43 having a direct role in regulating their expression.",21358643
79,p53,Transcription factor,MDS025,Protein,Activation,Transcription regulation,x,MDS025 is a p53 target gene.,22790872;23775793
80,Fra-1,Transcription factor,MMP-2,Metalloprotease,Activation,Transcription regulation,x,Fra-1 activates transcription of MMP-2.,12371906;18288638;20398633;25301070;25750173
81,PLC-gamma 1,Generic phospholipase,HPK1(MAP4K1),Protein kinase,Inhibition,Binding,x,PLC-gamma 1 binds to HPK1(MAP4K1),17474147
82,ZFP64,Transcription factor,HEY1,Transcription factor,Activation,Transcription regulation,x,"Zfp64 associates with Notch intracellular domain, mainly through the PEST-containing region. Zfp64 is recruited to the promoters of Hes1 or Hey1, and that it transactivates these Notch target genes.",18430783
83,eIF4E,Generic binding protein,C1orf86,Generic binding protein,Activation,Binding,x,eIF4E binds to and activates C1orf86.,36843541
84,FOXP1,Transcription factor,NANOG,Transcription factor,Activation,Transcription regulation,x,"FOXP1 stimulates the expression of transcription factor genes required for pluripotency, including OCT4, NANOG, NR5A2, and GDF3, while concomitantly repressing genes required for ESC differentiation.",21924763;26654944
85,c-Myb,Transcription factor,Bim,Generic binding protein,Activation,Transcription regulation,x,C-Myb binds to gene Bim promoter and activates Bim expression.,11210187;16162916;24075958
86,PI3K reg class III (p150),Generic binding protein,DBP,Transcription factor,Activation,Transcription regulation,x,PI3K reg class III (p150) co-activates transcription of DBP.,37414850
87,Alpha-fodrin,Generic binding protein,FANCA,Generic binding protein,Activation,Binding,x,Alpha-fodrin binds to and activates FANCA .,10551855;11401546;12571280;16889989;26543231;28938540
88,p66beta,Generic binding protein,FBXO44,Generic binding protein,Activation,Binding,x,p66beta binds to and activates FBXO44.,33357448
89,VCP,Generic enzyme,MSR1,Generic receptor,Inhibition,Binding,x,VCP binds to and inhibits MSR1.,22648616;23447685
90,SRF,Transcription factor,RhoGDI gamma,"Regulators (GDI, GAP, GEF)",Activation,Transcription regulation,x,The promoter region of RhoGDI gamma has binding site for SRF.,21792293
91,HOXA2,Transcription factor,PIRH2,Generic binding protein,Inhibition,Binding,x,HOXA2 binds to and inhibits PIRH2.,24244684
92,IGF2BP3,Generic binding protein,NEDD4L,Generic enzyme,Activation,Binding,x,IGF2BP3 binds to and activates NEDD4L.,25216519;33846348
93,Androgen receptor,Transcription factor,PR (membrane),Transcription factor,Inhibition,Transcription regulation,x,Androgen receptor inhibits transcription of PR (membrane).,19638585;25941928
94,LXR-beta,Transcription factor,Myelin basic protein,Generic binding protein,Inhibition,Transcription regulation,x,LXRalpha/beta bind to the peripheral myelin protein-22 (PMP22) and MPZ promoters.,21715627;26023184
95,MLL1 (HRX),Transcription factor,CXXC6,Generic enzyme,Activation,Transcription regulation,x,MLL1 (HRX) co-activates transcription of CXXC6.,23818607;27259240
96,GCR,Transcription factor,IRP1,Generic enzyme,Activation,Transcription regulation,x,"Glucocorticoid receptor in stress induces up-regulation of IRP-1, which subsequently enhances transferrin receptor-1 expression and down-regulates ferritin, causing iron accumulation in the liver.",21359952;30659202;32619221
97,FUSIP1,Generic binding protein,Pcf11,Generic enzyme,Inhibition,Binding,x,FUSIP1 binds to and inhibits Pcf11.,35293570
98,ATF-3,Transcription factor,XIAP,Generic binding protein,Inhibition,Transcription regulation,x,ATF-3 binds to gene XIAP promoter and suppresses XIAP expression.,16291753
99,ID2,Transcription factor,UBE2B,Generic enzyme,Inhibition,Binding,x,ID2 binds to and inhibits RAD6 .,1922066;11715049
100,MeCP2,Generic binding protein,NUR77,Transcription factor,Inhibition,Transcription regulation,x,MeCP2 inhibits transcription of NUR77.,21982370;27428650;36674969
101,MED1,Transcription factor,SOX2,Transcription factor,Activation,Transcription regulation,x,MED1 co-activates transcription of SOX2.,24792115;25512558;29255264;31555818;34301767
102,IKK-epsilon,Protein kinase,VCAM1,Generic receptor,Activation,Transcription regulation,x,p65-associated IKK{epsilon} binds tothe genomic fragments containing NF-{kappa}B sites controlling the Saa3 and Vcam1 promoters.,20507904
103,BAF200,Generic binding protein,Aurora-C,Protein kinase,Activation,Transcription regulation,x,BAF200 co-activates transcription of Aurora-C.,34772938
104,RelA (p65 NF-kB subunit),Transcription factor,Neprilysin,Metalloprotease,Activation,Transcription regulation,x,RelA (p65 NF-kB subunit) activates transcription of Neprilysin.,27641335;36418470
105,TCF8,Transcription factor,FOXO3A,Transcription factor,Activation,Transcription regulation,x,TCF8 activates transcription of FOXO3A.,29706544;30910999
106,MBD6,Generic binding protein,Brca2,Generic binding protein,Activation,Transcription regulation,x,"MBD6 directly regulated MBD2, MBD3, MBD4, STAT3, USP44, BRCA2, REST, and beta-catenin by direct binding on regulatory regions of these genes in hATSCs.",23052207
107,NANOG,Transcription factor,FKHR,Transcription factor,Inhibition,Transcription regulation,x,NANOG can bind to gene FOXO1A promoter.,17506876;19884255;22945654;33915080
108,MLL1 (HRX),Transcription factor,ZHX1,Transcription factor,Activation,Transcription regulation,x,MLL1 binds and activates the ZHX1 promoter.,20064463
109,FUS,Generic binding protein,Cyclin D1,Generic binding protein,Inhibition,Transcription regulation,x,FUS (TLS) is repressor of CCND1,18509338;21169411;30848493;38729967
110,SOX2,Transcription factor,TOX2,Transcription factor,Activation,Transcription regulation,x,SOX2 activates transcription of TOX2.,24590290
111,C/EBPalpha,Transcription factor,Chitotriosidase,Generic enzyme,Activation,Transcription regulation,x,C/EBPalpha binds to gene Chitotriosidase (chitinase) promoter and activates Chitotriosidase (chitinase) expression.,17540774
112,C/EBPbeta,Transcription factor,BMI-1,Generic binding protein,Activation,Transcription regulation,x,C/EBPbeta activates transcription of BMI-1.,28240738;32184225
113,AOF1,Generic binding protein,DNAJB11,Generic binding protein,Activation,Transcription regulation,x,LSD2 associates specifically with coding region of DNAJB11 gene and regulates its expression.,20670891
114,FBXW5,Generic binding protein,ASK1 (MAP3K5),Protein kinase,Inhibition,Binding,x,FBXW5 binds to and inhibits ASK1 (MAP3K5).,30703849
115,NANOG,Transcription factor,SMAD7,Transcription factor,Activation,Transcription regulation,x,"STAT3 target genes  (Dact1, Klf4, Klf5, Rgs16, Smad7, Ccrn4l, Cnnm1, Ocln, Ier3, Pim1, Cyr61, Sgk, Stat3, 1700051K13Rik, and 5230400M03Rik) are transcriptionally regulated by Nanog.",19544440;19884255;33915080
116,TEF-1,Transcription factor,GLUT1,Transporter,Activation,Transcription regulation,x,TEF-1 activates transcription of GLUT1.,27793648;30805937;34990589;35133975
117,FUS,Generic binding protein,ITF2,Transcription factor,Activation,Binding,x,FUS binds to and activates ITF2.,36697118
118,HDAC2,Generic enzyme,Kv1.2,Voltage-gated ion channel,Inhibition,Transcription regulation,x,HDAC2 co-inhibits transcription of Kv1.2.,28793257
119,BBS4,Generic binding protein,PCM1,Generic binding protein,Activation,Binding,x,BBS4 binds to and activates PCM1 .,15107855;17574030;18000879;18762586;18772192;21266464;22500027
120,RBP-J kappa (CBF1),Transcription factor,Neuropilin-1,Generic receptor,Activation,Transcription regulation,x,RBP-J kappa (CBF1) regulates transcription of Neuropilin-1.,19144989;20404113;31249304
121,ATF-3,Transcription factor,DYRK1a,Protein kinase,Inhibition,Transcription regulation,x,ATF-3 inhibits transcription of DYRK1a.,31980658
122,MOZ,Generic enzyme,AML1 (RUNX1),Transcription factor,Activation,Binding,x,MOZ physically interacts with  RUNX1a.,11742995;12771199;16167339;16613851;16702405;20418886
123,NUR77,Transcription factor,LKB1,Protein kinase,Inhibition,Binding,x,NUR77 binds to and inhibits LKB1.,22983157;37486903
124,C/EBPbeta,Transcription factor,WNT10B,Receptor ligand,Inhibition,Transcription regulation,x,C/EBPbeta inhibits Wnt10b transcription.,21760632;29768199
125,CSDA,Transcription factor,SLC3A2,Generic channel,Activation,Transcription regulation,x,CSDA activates transcription of SLC3A2.,31189097;38159852
126,SIP1 (ZFHX1B),Transcription factor,Galectin-1,Receptor ligand,Activation,Transcription regulation,x,SIP1 (ZFHX1B) activates transcription of Galectin-1.,38271512
127,Fra-2,Transcription factor,AMIGO2,Generic binding protein,Activation,Transcription regulation,x,Fra-2 activates transcription of AMIGO2.,29149598
128,PCBP-1,Generic binding protein,EIF1AX,Generic binding protein,Inhibition,Binding,x,PCBP-1 binds to and inhibits EIF1AX.,35080085
129,Cyclin D1,Generic binding protein,RalB,RAS - superfamily,Activation,Binding,x,CycD1 binds to the small GTPases Ral A- B and modulates Ral GTPase activity.,21242975
130,Bcl-6,Transcription factor,FADS1,Generic enzyme,Inhibition,Transcription regulation,x,Bcl-6 inhibits transcription of FADS1.,19965633;30566857
131,SETDB1,Generic enzyme,PROX1,Transcription factor,Inhibition,Transcription regulation,x,SETDB1 probably regulates PROX1 promoter  activity.,19884257;22863622
132,Translokin,Generic binding protein,Cyclin D1,Generic binding protein,Inhibition,Binding,x,"Cep57, interacts with cyclin D1 and controls its nucleocytoplasmic distribution in quiescent cells.",21306487
133,RelA (p65 NF-kB subunit),Transcription factor,PLC-beta1,Generic phospholipase,Inhibition,Transcription regulation,x,RelA (p65 NF-kB subunit) inhibits transcription of PLC-beta1.,28579529
134,Sirtuin1,Generic enzyme,PRDX3,Generic enzyme,Activation,Transcription regulation,x,Sirtuin1 co-activates transcription of PRDX3.,23461683
135,RelA (p65 NF-kB subunit),Transcription factor,ANKRD6,Generic binding protein,Activation,Transcription regulation,x,RelA (p65 NF-kB subunit) activates transcription of ANKRD6.,28579529
136,SMAD2,Transcription factor,EGR3,Transcription factor,Inhibition,Transcription regulation,x,SMAD2 inhibits transcription of EGR3.,29307605;32402252
137,DROSHA,Generic enzyme,TEX14,Generic binding protein,Inhibition,Transcription regulation,x,"Microprocessor regulates transcription from the HERV endogenous retrovirus and subset of cellular genes such as TEX14, PTP4A1, YIF1B, DLGAP1 and PDE4B.",22980978
138,UEV1A,Generic enzyme,TRIM5,Generic binding protein,Activation,Binding,x,TRIM5 physically interacts with UEV1A.,19549727;21512573
139,MYSM1,Generic binding protein,IRF8,Transcription factor,Activation,Transcription regulation,x,MYSM1 co-activates transcription of IRF8.,27277682
140,RBP-J kappa (CBF1),Transcription factor,REDD1,Protein,Activation,Transcription regulation,x,"Ddit4 is most likely direct, endogenous targets of the N1ICD/RBPJ complex.",22232070;31249304
141,KLF5,Transcription factor,SOX2,Transcription factor,Activation,Transcription regulation,x,KLF5 activates transcription of SOX2.,18653541;25053715;25425963;33972779
142,PKM2,Generic kinase,AMPK alpha 1 subunit,Protein kinase,Activation,Binding,x,PKM2 binds to and activates AMPK alpha 1 subunit.,31669575
143,14-3-3 epsilon,Generic binding protein,TORC1,Generic binding protein,Inhibition,Binding,x,14-3-3 epsilon interacts with TORC1.,16944949;17979178;19834888;22770221;28235073;35271311
144,PGHD,Generic enzyme,Rab-4A,RAS - superfamily,Activation,Binding,x,PGHD binds to and activates Rab-4A.,31575663
145,IGF2BP3,Generic binding protein,SLIT2,Receptor ligand,Inhibition,Binding,x,IGF2BP3 binds to and inhibits SLIT2.,36250924
146,PBX1,Transcription factor,Reelin,Generic protease,Inhibition,Transcription regulation,x,PBX1 inhibits transcription of Reelin.,39377397
147,Androgen receptor,Transcription factor,CHAC1,Generic binding protein,Inhibition,Transcription regulation,x,Androgen receptor inhibits transcription of CHAC1.,34145028;39368995
148,ATF-3,Transcription factor,STAT3,Transcription factor,Activation,Transcription regulation,x,ATF-3 activates transcription of STAT3.,10978511;25096061
149,G-protein beta-1,G betta/gamma,Karyopherin alpha 4,Transporter,Activation,Binding,x,G-protein beta-1 binds to and activates Karyopherin alpha 4.,35604143
150,GCR,Transcription factor,VDB,Transporter,Activation,Transcription regulation,x,GCR activates transcription of VDB.,17108703;30659202;32619221;36527388
151,STAT3,Transcription factor,Pleiotrophin (OSF1),Receptor ligand,Activation,Transcription regulation,x,Both STAT1 and STAT3 bind to the GAS in PTN promoter at the chromatin level in the IFN-gamma stimulated cells.,19917672
152,MAD3,Transcription factor,KIF5A,Generic binding protein,Activation,Transcription regulation,x,KINN transcription can be possibly activated by MAD3.,22808009
153,CINP,Generic kinase,ATR,Protein kinase,Activation,Binding,x,CINP interacts with ATR and activates ATR signaling.,19889979
154,NUAK1,Protein kinase,p21,Generic binding protein,Activation,Transcription regulation,x,NUAK1 interacts with p53 in the nucleus and binds to p21/WAF1 promoter.,21317932;25329316
155,YY1,Transcription factor,MCART1,Generic binding protein,Inhibition,Transcription regulation,x,YY1 inhibits transcription of MCART1.,26503783;32409309
156,E3b1(ABI-1),Generic binding protein,WASF1(WAVE1),Generic binding protein,Activation,Binding,x,E3b1(ABI-1) binds to and activates WASF1(WAVE1).,15143189;15752430;17215396;17304222;31980649;32673396
157,SAP30,Generic binding protein,Sin3A,Generic binding protein,Activation,Binding,x,SAP30 associates with and activates Sin3A.,9651585;9702189;9790534;10444591;11013263;11118440;11390640;11784859;12724404;15451426;16820529;21676866;22206758;22984288;37655663
158,NOTCH2 (2ICD),Generic binding protein,COX-2 (PTGS2),Generic enzyme,Activation,Transcription regulation,x,NOTCH2 (2ICD) co-activates transcription of COX-2 (PTGS2).,21976141
159,Cullin 4B,Generic binding protein,TGF-beta receptor type III (betaglycan),Receptor with enzyme activity,Inhibition,Transcription regulation,x,Cullin 4B co-inhibits transcription of TGF-beta receptor type III (betaglycan).,37487438
160,KIAA1843_MOUSE,Generic binding protein,NALCN,Generic channel,Activation,Binding,x,KIAA1843 binds to NALCN and activates it.,19092807;21040849
161,Huntingtin,Generic binding protein,TORC1,Generic binding protein,Inhibition,Binding,x,Huntingtin binds to and inhibits TORC1 .,22179316
162,TCF7L2 (TCF4),Transcription factor,Polycystin,Generic channel,Activation,Transcription regulation,x,TCF7L2 (TCF4) binds to Polycystin gene promoter and activates Polycystin expression.,12048202
163,GCR,Transcription factor,APOD,Receptor ligand,Activation,Transcription regulation,x,GCR activates transcription of APOD .,7916629;11711530;16541013;32619221;36527388
164,MeCP2,Generic binding protein,ADAM12,Metalloprotease,Inhibition,Transcription regulation,x,MeCP2 co-inhibits transcription of ADAM12.,23135915
165,SOX2,Transcription factor,BAZ2B,Generic binding protein,Activation,Transcription regulation,x,SOX2 activates transcription of BAZ2B.,19030024;19884255;23667531;38951654
166,UBR1,Generic enzyme,C1orf55,Protein,Inhibition,Binding,x,UBR1 binds to and inhibits C1orf55.,30698750
167,c-Jun,Transcription factor,RRM1,Generic enzyme,Activation,Transcription regulation,x,c-Jun activates transcription of RRM1.,18277385;37913894
168,DGCR8,Generic binding protein,NFBD1,Generic binding protein,Activation,Binding,x,DGCR8 binds to and activates NFBD1.,34188037
