List Report,,,,,,,,,,,
MetaCore Data,,,,,,,,CDDI Data,,,
#,Input IDs,Network Object Name,Gene Symbol,Unit (protein or chem),Object Type,Description,Therapeutic Drugs,CDDI Biomarker,CDDI Biomarker Role,CDDI Biomarker Type,CDDI Genes & Targets
105,,ACM1,Chrm1,ACM1_MOUSE,GPCR,Muscarinic acetylcholine receptor M1,Benzatropine,,,,
106,,ACM1,Chrm1,ACM1_MOUSE,GPCR,Muscarinic acetylcholine receptor M1,Talsaclidine,,,,
107,,ACM1,Chrm1,ACM1_MOUSE,GPCR,Muscarinic acetylcholine receptor M1,Benactyzine,,,,
108,,ACM1,Chrm1,ACM1_MOUSE,GPCR,Muscarinic acetylcholine receptor M1,Biperiden,,,,
109,,ACM1,Chrm1,ACM1_MOUSE,GPCR,Muscarinic acetylcholine receptor M1,Dicycloverine,,,,
110,,ACM1,Chrm1,ACM1_MOUSE,GPCR,Muscarinic acetylcholine receptor M1,Clozapine,,,,
111,,ACM1,Chrm1,ACM1_MOUSE,GPCR,Muscarinic acetylcholine receptor M1,Bethanechol,,,,
112,,ACM1,Chrm1,ACM1_MOUSE,GPCR,Muscarinic acetylcholine receptor M1,Dexetimide,,,,
113,,ACM1,Chrm1,ACM1_MOUSE,GPCR,Muscarinic acetylcholine receptor M1,Hexocyclium,,,,
114,,ACM1,Chrm1,ACM1_MOUSE,GPCR,Muscarinic acetylcholine receptor M1,Bornaprine,,,,
115,,ACM1,Chrm1,ACM1_MOUSE,GPCR,Muscarinic acetylcholine receptor M1,Propantheline,,,,
116,,ACM1,Chrm1,ACM1_MOUSE,GPCR,Muscarinic acetylcholine receptor M1,Mepenzolate,,,,
117,,ACM1,Chrm1,ACM1_MOUSE,GPCR,Muscarinic acetylcholine receptor M1,Telenzepine,,,,
118,,ACM1,Chrm1,ACM1_MOUSE,GPCR,Muscarinic acetylcholine receptor M1,Scopolamine,,,,
119,,ACM1,Chrm1,ACM1_MOUSE,GPCR,Muscarinic acetylcholine receptor M1,Metixene,,,,
120,,ACM1,Chrm1,ACM1_MOUSE,GPCR,Muscarinic acetylcholine receptor M1,Methylscopolamine,,,,
121,,ACM1,Chrm1,ACM1_MOUSE,GPCR,Muscarinic acetylcholine receptor M1,Caramiphen,,,,
122,,ACM1,Chrm1,ACM1_MOUSE,GPCR,Muscarinic acetylcholine receptor M1,Glycopyrronium,,,,
123,,ACM1,Chrm1,ACM1_MOUSE,GPCR,Muscarinic acetylcholine receptor M1,Quinupramine,,,,
124,,ACM1,Chrm1,ACM1_MOUSE,GPCR,Muscarinic acetylcholine receptor M1,Flavoxate,,,,
125,,ACM1,Chrm1,ACM1_MOUSE,GPCR,Muscarinic acetylcholine receptor M1,Pilocarpine,,,,
126,,ACM1,Chrm1,ACM1_MOUSE,GPCR,Muscarinic acetylcholine receptor M1,Ipratropium,,,,
127,,ACM1,Chrm1,ACM1_MOUSE,GPCR,Muscarinic acetylcholine receptor M1,Profenamine,,,,
128,,ACM1,Chrm1,ACM1_MOUSE,GPCR,Muscarinic acetylcholine receptor M1,Propiomazine,,,,
129,,ACM1,Chrm1,ACM1_MOUSE,GPCR,Muscarinic acetylcholine receptor M1,Oxitropium,,,,
130,,ACM1,Chrm1,ACM1_MOUSE,GPCR,Muscarinic acetylcholine receptor M1,Difenidol,,,,
131,,ACM1,Chrm1,ACM1_MOUSE,GPCR,Muscarinic acetylcholine receptor M1,Oxyphenonium,,,,
132,,ACM1,Chrm1,ACM1_MOUSE,GPCR,Muscarinic acetylcholine receptor M1,Cevimeline,,,,
133,,ACM1,Chrm1,ACM1_MOUSE,GPCR,Muscarinic acetylcholine receptor M1,Tiotropium,,,,
134,,ACM1,Chrm1,ACM1_MOUSE,GPCR,Muscarinic acetylcholine receptor M1,Thiazinamium,,,,
135,,ACM1,Chrm1,ACM1_MOUSE,GPCR,Muscarinic acetylcholine receptor M1,NGX267,,,,
136,,ACM1,Chrm1,ACM1_MOUSE,GPCR,Muscarinic acetylcholine receptor M1,Aclidinium,,,,
137,,ACM1,Chrm1,ACM1_MOUSE,GPCR,Muscarinic acetylcholine receptor M1,Xanomeline,,,,
138,,ACM1,Chrm1,ACM1_MOUSE,GPCR,Muscarinic acetylcholine receptor M1,Promethazine,,,,
139,,ACOT6,Acot6,ACOT6_MOUSE,Generic enzyme,Acyl-coenzyme A thioesterase 6,,,,,
140,,ACOX1,Acox1,ACOX1_MOUSE,Generic enzyme,Peroxisomal acyl-coenzyme A oxidase 1,,,,,
141,,ACP33,Spg21,SPG21_MOUSE,Generic binding protein,Maspardin,,,,,
142,,ACSA,Acss2,ACSA_MOUSE,Generic enzyme,"Acetyl-coenzyme A synthetase, cytoplasmic",,,,,
143,,ACSL3,Acsl3,ACSL3_MOUSE,Generic enzyme,Fatty acid CoA ligase Acsl3,,,,,
144,,ACSL4,Acsl4,ACSL4_MOUSE,Generic enzyme,Long-chain-fatty-acid--CoA ligase 4,,,,,
145,,ACTB,Actb,ACTB_MOUSE,Generic binding protein,"Actin, cytoplasmic 1",,,,,
146,,ACY2,Aspa,ACY2_MOUSE,Generic enzyme,Aspartoacylase,,,,,
147,,ACYP1,Acyp1,ACYP1_MOUSE,Generic enzyme,Acylphosphatase-1,,,,,
148,,ADA,Ada,ADA_MOUSE,Generic enzyme,Adenosine deaminase,Pentostatin,,,,
149,,ADA2B,Tada2b,AA474455,Generic binding protein,expressed sequence AA474455,,,,,
150,,ADAL,Adal,ADAL_MOUSE,Generic enzyme,Adenosine deaminase-like protein,,,,,
151,,ADAM-TS2,Adamts2,ATS2_MOUSE,Metalloprotease,A disintegrin and metalloproteinase with thrombospondin motifs 2,,,,,
152,,ADAM-TS7,Adamts7,ATS7_MOUSE,Metalloprotease,A disintegrin and metalloproteinase with thrombospondin motifs 7,,,,,
153,,ADAM-TS8,Adamts8,ATS8_MOUSE,Metalloprotease,A disintegrin and metalloproteinase with thrombospondin motifs 8,,,,,
154,,ADAM12,Adam12,ADA12_MOUSE,Metalloprotease,Disintegrin and metalloproteinase domain-containing protein 12,,83-gene expression breast cancer panel,Prognosis,Genomic,ADAM metallopeptidase domain 12
155,,ADAM12,Adam12,ADA12_MOUSE,Metalloprotease,Disintegrin and metalloproteinase domain-containing protein 12,,Macrophage-associated marker prognostic score,Prognosis,Genomic,ADAM metallopeptidase domain 12
156,,ADAM15,Adam15,ADA15_MOUSE,Metalloprotease,Disintegrin and metalloproteinase domain-containing protein 15,,,,,
157,,ADAM17,Adam17,ADA17_MOUSE,Metalloprotease,Disintegrin and metalloproteinase domain-containing protein 17,,,,,
158,,ADAM22,Adam22,ADA22_MOUSE,Metalloprotease,Disintegrin and metalloproteinase domain-containing protein 22,,,,,
159,,ADAM9,Adam9,ADAM9_MOUSE,Metalloprotease,Disintegrin and metalloproteinase domain-containing protein 9,,,,,
160,,ADCK2,Adck2,ADCK2_MOUSE,Generic kinase,Uncharacterized aarF domain-containing protein kinase 2,,,,,
161,,ADHFE1,Adhfe1,HOT_MOUSE,Generic enzyme,"Hydroxyacid-oxoacid transhydrogenase, mitochondrial",,,,,
162,,ADO,Ado,AEDO_MOUSE,Generic enzyme,2-aminoethanethiol dioxygenase,,,,,
163,,ADPGK,Adpgk,ADPGK_MOUSE,Generic kinase,ADP-dependent glucokinase,,,,,
164,,AF-10,Mllt10,AF10_MOUSE,Transcription factor,Protein AF-10,,,,,
165,,AF-17,Mllt6,Mllt6,Generic binding protein,myeloid/lymphoid or mixed lineage-leukemia translocation to 6 homolog (Drosophila),,,,,
166,,AF-4,Aff1,AFF1_MOUSE,Transcription factor,AF4/FMR2 family member 1,,,,,
167,,AFAP,Afap1,AFAP1_MOUSE,Generic binding protein,Actin filament-associated protein 1,,,,,
168,,AFG3L1,Afg3l1,AFG31_MOUSE,Generic protease,Mitochondrial inner membrane m-AAA protease component AFG3L1,,,,,
169,,AFG3L2,Afg3l2,AFG32_MOUSE,Metalloprotease,Mitochondrial inner membrane m-AAA protease component AFG3L2,,,,,
170,,AGAL,Gla,AGAL_MOUSE,Generic enzyme,Alpha-galactosidase A,Migalastat,,,,
171,,AGBL5,Agbl5,CBPC5_MOUSE,Generic protease,Cytosolic carboxypeptidase-like protein 5,,,,,
172,,AGP2 (ORM2),Orm2,A1AG2_MOUSE,Generic binding protein,Alpha-1-acid glycoprotein 2,,,,,
173,,AGTPBP1,Agtpbp1,CBPC1_MOUSE,Metalloprotease,Cytosolic carboxypeptidase 1,,,,,
174,,AHDC1,Ahdc1,AHDC1_MOUSE,Generic binding protein,Transcription factor Gibbin,,,,,
175,,AHNAK,Ahnak,Ahnak,Generic binding protein,AHNAK nucleoprotein (desmoyokin),,,,,
176,,AHSA2,Ahsa2,AHSA2_MOUSE,Generic binding protein,Activator of 90 kDa heat shock protein ATPase homolog 2,,,,,
177,,AI593442,AI593442,CK087_MOUSE,Protein,Uncharacterized protein C11orf87 homolog,,,,,
178,,AI854703,AI854703,AI854703,Protein,expressed sequence AI854703,,,,,
179,,AI987944,AI987944,AI987944,Generic binding protein,expressed sequence AI987944,,,,,
180,,AIDA,Aida,AIDA_MOUSE,Generic binding protein,"Axin interactor, dorsalization-associated protein",,,,,
181,,AIFM3,Aifm3,AIFM3_MOUSE,Generic binding protein,Apoptosis-inducing factor 3,,,,,
182,,AIM2,Aim2,AIM2_MOUSE,Generic binding protein,Interferon-inducible protein AIM2,,,,,
183,,AIP,Aip,AIP_MOUSE,Generic binding protein,AH receptor-interacting protein,,,,,
184,,AIP1 (DAB2ip),Dab2ip,DAB2P_MOUSE,"Regulators (GDI, GAP, GEF)",Disabled homolog 2-interacting protein,,,,,
185,,AK2,Ak2,KAD2_MOUSE,Generic kinase,"Adenylate kinase 2, mitochondrial",,,,,
186,,AKAP1,Akap1,AKAP1_MOUSE,Generic binding protein,"A-kinase anchor protein 1, mitochondrial",,,,,
187,,AKAP10,Akap10,AKA10_MOUSE,Generic binding protein,"A-kinase anchor protein 10, mitochondrial",,,,,
188,,AKAP11,Akap11,Akap11,Generic binding protein,A kinase (PRKA) anchor protein 11,,,,,
189,,AKAP12,Akap12,AKA12_MOUSE,Generic binding protein,A-kinase anchor protein 12,,,,,
190,,AKAP3,Akap3,AKAP3_MOUSE,Generic binding protein,A-kinase anchor protein 3,,,,,
191,,AKAP350,Akap9,AKAP9_MOUSE,Generic binding protein,A-kinase anchor protein 9,,,,,
192,,AKAP5,Akap5,AKAP5_MOUSE,Generic binding protein,A-kinase anchor protein 5,,,,,
193,,AKAP6,Akap6,Akap6,Generic binding protein,A kinase (PRKA) anchor protein 6,,,,,
194,,AKAP7 alpha/beta,Akap7,AKA7A_MOUSE,Generic binding protein,A-kinase anchor protein 7 isoform alpha,,,,,
195,,AKAP7 gamma,Akap7,AKA7G_MOUSE,Generic binding protein,A-kinase anchor protein 7 isoform gamma,,,,,
196,,AKIRIN2,Akirin2,AKIR2_MOUSE,Generic binding protein,Akirin-2,,,,,
197,,AKR1C3,Akr1c18,AKC1H_MOUSE,Generic enzyme,Aldo-keto reductase family 1 member C18,,,,,
198,,AKR1CL2,Akr1e1,AKCL2_MOUSE,Generic enzyme,"1,5-anhydro-D-fructose reductase",,,,,
199,,AKT3,Akt3,AKT3_MOUSE,Protein kinase,RAC-gamma serine/threonine-protein kinase,,,,,
200,,AL1B1,Aldh1b1,AL1B1_MOUSE,Generic enzyme,"Aldehyde dehydrogenase X, mitochondrial",,,,,
201,,AL3A2,Aldh3a2,AL3A2_MOUSE,Generic enzyme,Aldehyde dehydrogenase family 3 member A2,,,,,
202,,AL3B2,Aldh3b2,AL3B2_MOUSE,Generic enzyme,Aldehyde dehydrogenase family 3 member B2,,,,,
203,,ALD2,Akr1b8,ALD2_MOUSE,Generic enzyme,Aldose reductase-related protein 2,,,,,
204,,ALD9A1,Aldh9a1,AL9A1_MOUSE,Generic enzyme,4-trimethylaminobutyraldehyde dehydrogenase,,,,,
205,,ALDH2,Aldh2,ALDH2_MOUSE,Generic enzyme,"Aldehyde dehydrogenase, mitochondrial",,,,,
206,,ALDOA,Aldoa,ALDOA_MOUSE,Generic enzyme,Fructose-bisphosphate aldolase A,,,,,
207,,ALG11,Alg11,ALG11_MOUSE,Generic enzyme,"GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase",,,,,
208,,ALG2,Alg2,ALG2_MOUSE,Generic enzyme,"Alpha-1,3/1,6-mannosyltransferase ALG2",,,,,
209,,ALG3,Alg3,ALG3_MOUSE,Generic enzyme,"Dol-P-Man:Man(5)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase",,,,,
210,,ALG9,Alg9,ALG9_MOUSE,Generic enzyme,"Alpha-1,2-mannosyltransferase ALG9",,,,,
211,,ALK-4,Acvr1b,ACV1B_MOUSE,Receptor with enzyme activity,Activin receptor type-1B,,,,,
212,,ALKBH1,Alkbh1,ALKB1_MOUSE,Generic enzyme,Nucleic acid dioxygenase ALKBH1,,,,,
213,,ALKBH5,Alkbh5,ALKB5_MOUSE,Generic enzyme,RNA demethylase ALKBH5,,,,,
214,,ALPL,Alpl,PPBT_MOUSE,Generic phosphatase,"Alkaline phosphatase, tissue-nonspecific isozyme",,,,,
215,,ALS2,Als2,ALS2_MOUSE,"Regulators (GDI, GAP, GEF)",Alsin,,,,,
216,,ALS2CR13,Fam117b,F117B_MOUSE,Protein,Protein FAM117B,,,,,
217,,ALS2CR8,Carf,CARTF_MOUSE,Transcription factor,Calcium-responsive transcription factor,,,,,
218,,ALY,Alyref,THOC4_MOUSE,Generic binding protein,THO complex subunit 4,,,,,
219,,AMBRA1,Ambra1,AMRA1_MOUSE,Generic binding protein,Activating molecule in BECN1-regulated autophagy protein 1,,,,,
220,,AMD1,Amd1,DCAM1_MOUSE,Generic enzyme,S-adenosylmethionine decarboxylase proenzyme 1,"N(1),N(11)-Diethylnorspermine",,,,
221,,AMD3,Ampd3,AMPD3_MOUSE,Generic enzyme,AMP deaminase 3,,,,,
222,,AMDHD2,Amdhd2,NAGA_MOUSE,Generic enzyme,N-acetylglucosamine-6-phosphate deacetylase,,,,,
223,,AMH type II receptor,Amhr2,AMHR2_MOUSE,Receptor with enzyme activity,Anti-Muellerian hormone type-2 receptor,,,,,
224,,AMIGO,Amigo1,AMGO1_MOUSE,Generic receptor,Amphoterin-induced protein 1,,,,,
225,,AMIGO2,Amigo2,AMGO2_MOUSE,Generic binding protein,Amphoterin-induced protein 2,,,,,
226,,AML1 (RUNX1),Runx1,RUNX1_MOUSE,Transcription factor,Runt-related transcription factor 1,,,,,
227,,AMMECR1,Ammecr1,AMMR1_MOUSE,Protein,Nuclear protein AMMECR1,,,,,
228,,AMMECR1L,Ammecr1l,AMERL_MOUSE,Protein,AMMECR1-like protein,,,,,
229,,AMOTL1 (Jeap),Amotl1,AMOL1_MOUSE,Generic binding protein,Angiomotin-like protein 1,,,,,
230,,AMPK alpha 1 subunit,Prkaa1,AAPK1_MOUSE,Protein kinase,5'-AMP-activated protein kinase catalytic subunit alpha-1,,,,,
231,,AMPK beta1,Prkab1,AAKB1_MOUSE,Generic binding protein,5'-AMP-activated protein kinase subunit beta-1,,,,,
232,,AMPL,Lap3,AMPL_MOUSE,Generic protease,Cytosol aminopeptidase,,,,,
233,,AMSH,Stambp,STABP_MOUSE,Metalloprotease,STAM-binding protein,,,,,
